anchor records: 330  problem texts: 655

[E12_gemini_2_5_flash] model=gemini-2.5-flash  resumable from 0/330 cached records
  [E12_gemini_2_5_flash] 270/330  avg=0.8s/prob  est_left=0.8min
  [E12_gemini_2_5_flash] 275/330  avg=0.8s/prob  est_left=0.7min
  [E12_gemini_2_5_flash] 280/330  avg=0.8s/prob  est_left=0.7min
  [E12_gemini_2_5_flash] 285/330  avg=0.8s/prob  est_left=0.6min
  [E12_gemini_2_5_flash] 290/330  avg=0.8s/prob  est_left=0.5min
  [E12_gemini_2_5_flash] 295/330  avg=0.8s/prob  est_left=0.5min
  [E12_gemini_2_5_flash] 300/330  avg=0.8s/prob  est_left=0.4min
  [E12_gemini_2_5_flash] 305/330  avg=0.8s/prob  est_left=0.3min
  [E12_gemini_2_5_flash] 310/330  avg=0.7s/prob  est_left=0.2min
  [E12_gemini_2_5_flash] 315/330  avg=0.7s/prob  est_left=0.2min
  [E12_gemini_2_5_flash] 320/330  avg=0.7s/prob  est_left=0.1min
  [E12_gemini_2_5_flash] 325/330  avg=0.7s/prob  est_left=0.1min
  [E12_gemini_2_5_flash] 330/330  avg=0.7s/prob  est_left=0.0min
  [E12_gemini_2_5_flash] done. Wrote /Users/aayanalwani/MATHAI/dajv/../MATHAI/results/exp54_gemini25flash_extractor.json (330 records).
